using cuda device
current class:obj1
loss:0.306709  heatmap_loss:0.268818  contour_loss:0.037890
loss:0.249600  heatmap_loss:0.209305  contour_loss:0.040295
loss:0.225338  heatmap_loss:0.203146  contour_loss:0.022192
loss:0.122834  heatmap_loss:0.102268  contour_loss:0.020566
loss:0.259068  heatmap_loss:0.215988  contour_loss:0.043080
loss:0.110255  heatmap_loss:0.093978  contour_loss:0.016277
loss:0.165352  heatmap_loss:0.145862  contour_loss:0.019490
loss:0.198470  heatmap_loss:0.179203  contour_loss:0.019267
loss:0.194212  heatmap_loss:0.170560  contour_loss:0.023651
loss:0.226464  heatmap_loss:0.184085  contour_loss:0.042380
loss:0.231953  heatmap_loss:0.189974  contour_loss:0.041979
loss:0.105152  heatmap_loss:0.087788  contour_loss:0.017364
loss:0.136838  heatmap_loss:0.119980  contour_loss:0.016858
loss:0.201280  heatmap_loss:0.174673  contour_loss:0.026607
loss:0.227427  heatmap_loss:0.195993  contour_loss:0.031434
loss:0.168525  heatmap_loss:0.145771  contour_loss:0.022754
loss:0.106504  heatmap_loss:0.088541  contour_loss:0.017963
loss:0.165047  heatmap_loss:0.147881  contour_loss:0.017166
loss:0.107698  heatmap_loss:0.092393  contour_loss:0.015305
loss:0.185873  heatmap_loss:0.157421  contour_loss:0.028452
loss:0.218249  heatmap_loss:0.189614  contour_loss:0.028635
loss:0.155954  heatmap_loss:0.140661  contour_loss:0.015293
loss:0.158671  heatmap_loss:0.138584  contour_loss:0.020087
loss:0.153299  heatmap_loss:0.132162  contour_loss:0.021137
loss:0.130938  heatmap_loss:0.111168  contour_loss:0.019770
loss:0.237047  heatmap_loss:0.203505  contour_loss:0.033543
loss:0.144586  heatmap_loss:0.126716  contour_loss:0.017870
loss:0.210110  heatmap_loss:0.178839  contour_loss:0.031271
loss:0.110315  heatmap_loss:0.094662  contour_loss:0.015653
loss:0.187004  heatmap_loss:0.170528  contour_loss:0.016477
loss:0.118505  heatmap_loss:0.101731  contour_loss:0.016774
loss:0.161333  heatmap_loss:0.141219  contour_loss:0.020115
loss:0.123574  heatmap_loss:0.109375  contour_loss:0.014198
loss:0.128082  heatmap_loss:0.111206  contour_loss:0.016875
loss:0.250753  heatmap_loss:0.217503  contour_loss:0.033250
loss:0.316091  heatmap_loss:0.273475  contour_loss:0.042616
loss:0.167749  heatmap_loss:0.144813  contour_loss:0.022936
loss:0.161175  heatmap_loss:0.138557  contour_loss:0.022618
loss:0.130140  heatmap_loss:0.120568  contour_loss:0.009571
loss:0.206406  heatmap_loss:0.179629  contour_loss:0.026777
loss:0.135853  heatmap_loss:0.116629  contour_loss:0.019224
loss:0.250858  heatmap_loss:0.218414  contour_loss:0.032444
loss:0.159026  heatmap_loss:0.142530  contour_loss:0.016496
loss:0.122625  heatmap_loss:0.101707  contour_loss:0.020918
loss:0.121289  heatmap_loss:0.107393  contour_loss:0.013896
loss:0.172765  heatmap_loss:0.153203  contour_loss:0.019562
loss:0.164437  heatmap_loss:0.146061  contour_loss:0.018376
loss:0.180238  heatmap_loss:0.157625  contour_loss:0.022613
loss:0.167002  heatmap_loss:0.139787  contour_loss:0.027215
loss:0.129659  heatmap_loss:0.115510  contour_loss:0.014149
loss:0.212253  heatmap_loss:0.187114  contour_loss:0.025139
loss:0.131858  heatmap_loss:0.113716  contour_loss:0.018141
loss:0.167665  heatmap_loss:0.153624  contour_loss:0.014040
loss:0.158309  heatmap_loss:0.141257  contour_loss:0.017052
loss:0.129220  heatmap_loss:0.109566  contour_loss:0.019654
loss:0.112421  heatmap_loss:0.097673  contour_loss:0.014748
loss:0.160868  heatmap_loss:0.135295  contour_loss:0.025573
loss:0.127128  heatmap_loss:0.108233  contour_loss:0.018895
loss:0.098072  heatmap_loss:0.085647  contour_loss:0.012425
loss:0.148654  heatmap_loss:0.122696  contour_loss:0.025958
loss:0.141489  heatmap_loss:0.126749  contour_loss:0.014740
loss:0.117627  heatmap_loss:0.096166  contour_loss:0.021460
loss:0.131399  heatmap_loss:0.111167  contour_loss:0.020231
loss:0.202791  heatmap_loss:0.169426  contour_loss:0.033365
loss:0.155729  heatmap_loss:0.131764  contour_loss:0.023964
loss:0.191911  heatmap_loss:0.164013  contour_loss:0.027898
loss:0.161707  heatmap_loss:0.134957  contour_loss:0.026749
loss:0.189788  heatmap_loss:0.160939  contour_loss:0.028849
loss:0.148153  heatmap_loss:0.128012  contour_loss:0.020142
loss:0.164892  heatmap_loss:0.141343  contour_loss:0.023549
loss:0.099279  heatmap_loss:0.085166  contour_loss:0.014113
loss:0.126223  heatmap_loss:0.108174  contour_loss:0.018049
loss:0.108948  heatmap_loss:0.095725  contour_loss:0.013223
loss:0.172502  heatmap_loss:0.146625  contour_loss:0.025877
loss:0.254052  heatmap_loss:0.208263  contour_loss:0.045789
loss:0.161488  heatmap_loss:0.141020  contour_loss:0.020468
loss:0.113065  heatmap_loss:0.097910  contour_loss:0.015155
